BROKERTITLE,TYPE,PRICE,BATH,PROPERTYSQFT,ADDRESS,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,FORMATTED_ADDRESS,LATITUDE,LONGITUDE
"Brokered by Jamie & Connie Real Estate Grp","Co-op for sale",430000,2,2169,"91-15 Lamont Ave Unit 6D","Elmhurst, NY 11373","91-15 Lamont Ave Unit 6D, Elmhurst, NY 11373","New York","Queens County",Queens,Elmhurst,91-15,"91-15 Lamont Ave #6d, Elmhurst, NY 11373, USA",40.7438639,-73.8745722
"Brokered by Corcoran Chelsea/Flatiron","Co-op for sale",895000,1,2174,"61 Jane St Apt 6N","New York, NY 10014","61 Jane St Apt 6N, New York, NY 10014","New York","New York County","New York",Manhattan,61,"61 Jane St #6n, New York, NY 10014, USA",40.7382981,-74.0058899
"Brokered by Awaye Realty","Condo for sale",549000,2,1000,"4654 Amboy Rd Unit 2B","Staten Island, NY 10312","4654 Amboy Rd Unit 2B, Staten Island, NY 10312","New York","Richmond County","Staten Island",Annadale,4654,"4654 Amboy Rd #2b, Staten Island, NY 10312, USA",40.5406209,-74.1671632
"Brokered by Realty Executives Today","Townhouse for sale",975000,2,1734,"28-31 Hobart St","Woodside, NY 11377","28-31 Hobart St, Woodside, NY 11377","United States","New York","Queens County",Queens,"Hobart Street","28-31 Hobart St, Flushing, NY 11377, USA",40.7607676,-73.9056672
"Brokered by Dorsa Group Realty","Co-op for sale",199000,1,325,"9430 Ridge Blvd Apt 6D","Brooklyn, NY 11209","9430 Ridge Blvd Apt 6D, Brooklyn, NY 11209","New York","Kings County",Brooklyn,"Fort Hamilton",9430,"9430 Ridge Blvd #6d, Brooklyn, NY 11209, USA",40.6181029,-74.0369047
"Brokered by Coldwell Banker Realty","Co-op for sale",350000,1,700,"5800 Arlington Ave Apt 21A","Bronx, NY 10471","5800 Arlington Ave Apt 21A, Bronx, NY 10471","New York","Bronx County","The Bronx","North Riverdale",5800,"5800 Arlington Ave Apt 21s, Bronx, NY 10471, USA",40.9073699,-73.9065578
"Brokered by Keller Williams Rlty Landmark","Condo for sale",599000,2,974,"92-29 Queens Blvd Unit 3H","Rego Park, NY 11374","92-29 Queens Blvd Unit 3H, Rego Park, NY 11374","New York","Queens County",Queens,"Rego Park",92-29,"92-29 Queens Blvd #3h, Rego Park, NY 11374, USA",40.7324713,-73.8670804
"Brokered by Radiant Estates LLC","House for sale",639999,2,1260,"27 Clove Way","Staten Island, NY 10301","27 Clove Way, Staten Island, NY 10301","United States","New York","Richmond County","Staten Island","Clove Way","27 Clove Way, Staten Island, NY 10301, USA",40.6207403,-74.1114362
"Brokered by Apaus, Inc","Condo for sale",1300000,2,1244,"10724 71st Rd Apt 9F","Forest Hills, NY 11375","10724 71st Rd Apt 9F, Forest Hills, NY 11375","New York","Queens County",Queens,"Forest Hills",10724,"10724 71st Rd #9f, Forest Hills, NY 11375, USA",40.7202429,-73.8430513
"Brokered by Keller Williams Ny Realty","Multi-family home for sale",1100000,3,2837,"1038 Throggs Neck Expy Unit Sr","Bronx, NY 10465","1038 Throggs Neck Expy Unit Sr, Bronx, NY 10465","United States","New York","Bronx County","The Bronx","Throgs Neck Expressway","1038 Throgs Neck Expy, Bronx, NY 10465, USA",40.8343936,-73.8221101
"Brokered by Martino Realty Group","Condo for sale",349900,1,651,"165 Cromwell Ave Apt 2B","Staten Island, NY 10304","165 Cromwell Ave Apt 2B, Staten Island, NY 10304","New York","Richmond County","Staten Island","Dongan Hills",165,"165 Cromwell Ave #2b, Staten Island, NY 10304, USA",40.5902064,-74.0958034
"Brokered by Elizabeth Marra","House for sale",750000,2,1330,"280 Loretto St","Staten Island, NY 10307","280 Loretto St, Staten Island, NY 10307","United States","New York","Richmond County","Staten Island","Loretto Street","280 Loretto St, Staten Island, NY 10307, USA",40.5039785,-74.2396555
"Brokered by Nest Seekers International, Long Island","Co-op for sale",325000,1,2183,"35-45 81st St Unit E1","Queens, NY 11372","35-45 81st St Unit E1, Queens, NY 11372","New York","Queens County",Queens,"Jackson Heights",35-45,"35-45 81st St e1, Jackson Heights, NY 11372, USA",40.7505078,-73.8851355
"Brokered by Century 21 Realty First","Multi-family home for sale",2250000,2.5,5670,"2361 81st St","Brooklyn, NY 11214","2361 81st St, Brooklyn, NY 11214",11214,"United States","New York","Kings County","81st Street","2361 81st St, Brooklyn, NY 11214, USA",40.602654,-73.9869399
NoBroker,"Multi-family home for sale",925000,2,2750,"543 Hollywood Ave","Bronx, NY 10465","543 Hollywood Ave, Bronx, NY 10465","United States","New York","Bronx County","The Bronx","Hollywood Avenue","543 Hollywood Ave, Bronx, NY 10465, USA",40.8242389,-73.8173809
"Brokered by RJM Realty Empire Inc.","Multi-family home for sale",1300000,8,5040,"366 Union Ave Unit 4","Staten Island, NY 10303","366 Union Ave Unit 4, Staten Island, NY 10303","New York","Richmond County","Staten Island","Mariners Harbor",366,"366 Union Ave #4, Staten Island, NY 10303, USA",40.6274381,-74.1581613
"Brokered by Ashford Homes LLC","Condo for sale",528000,1,602,"1238 63rd St Unit 432","Brooklyn, NY 11219","1238 63rd St Unit 432, Brooklyn, NY 11219","New York","Kings County",Brooklyn,"Dyker Heights",1238,"1238 63rd St #432, Brooklyn, NY 11219, USA",40.6275896,-74.0016198
"Brokered by Ashford Homes","Multi-family home for sale",1299888,4,3156,"310-312 Hillside Ave","Staten Island, NY 10304","310-312 Hillside Ave, Staten Island, NY 10304","New York","Richmond County","Staten Island",Clifton,310,"310 Hillside Ave #312, Staten Island, NY 10304, USA",40.6155667,-74.0869554
"Brokered by E Realty International Corp","Co-op for sale",275000,1,2181,"44-55 Kissena Blvd Unit 5F","Flushing, NY 11355","44-55 Kissena Blvd Unit 5F, Flushing, NY 11355","New York","Queens County",Queens,Flushing,44-55,"44-55 Kissena Blvd #5f, Flushing, NY 11355, USA",40.7528774,-73.8211834
"Brokered by Corcoran Park Slope","Condo for sale",1165000,1,815,"338 Berry St Apt 4E","Brooklyn, NY 11249","338 Berry St Apt 4E, Brooklyn, NY 11249","New York","Kings County",Brooklyn,Williamsburg,338,"338 Berry St #4e, Brooklyn, NY 11249, USA",40.711969,-73.9649468
"Brokered by Staten Island Homes Realty Corp","Multi-family home for sale",1199000,5,3290,"10 Simon Ct","Staten Island, NY 10307","10 Simon Ct, Staten Island, NY 10307","United States","New York","Richmond County","Staten Island","Simon Court","10 Simon Ct, Staten Island, NY 10307, USA",40.5159256,-74.2361135
"Brokered by Exp Realty","Multi-family home for sale",700000,2,3053,"229 W Tremont Ave Unit A","Bronx, NY 10453","229 W Tremont Ave Unit A, Bronx, NY 10453","United States","New York","Bronx County","The Bronx","West Tremont Avenue","229 W Tremont Ave, Bronx, NY 10453, USA",40.852813,-73.9176871
"Brokered by Century 21 Realty First","Multi-family home for sale",2150000,4,3200,"2226 63rd St","Brooklyn, NY 11204","2226 63rd St, Brooklyn, NY 11204","United States","New York","Kings County",Brooklyn,"63rd Street","2226 63rd St, Brooklyn, NY 11204, USA",40.614446,-73.9795824
"Brokered by Brown Harris Stevens","Co-op for sale",199900,1,2169,"828 Gerard Ave Apt 5F","Bronx, NY 10451","828 Gerard Ave Apt 5F, Bronx, NY 10451","New York","Bronx County","The Bronx",Concourse,828,"828 Gerard Ave #5f, Bronx, NY 10451, USA",40.8260352,-73.9256625
"Brokered by Winzone Realty Inc","Co-op for sale",369000,1,2171,"43-40 Union St Unit 3D","Flushing, NY 11355","43-40 Union St Unit 3D, Flushing, NY 11355","New York","Queens County",Queens,Flushing,43-40,"43-40 Union St #3d, Flushing, NY 11355, USA",40.753455,-73.8209077
"Brokered by Prestige Homes Ny Inc","Multi-family home for sale",699000,3,1591,"111-31 141st St","Jamaica, NY 11435","111-31 141st St, Jamaica, NY 11435","United States","New York","Queens County",Queens,"141st Street","111-31 141st St, Jamaica, NY 11435, USA",40.6847504,-73.8027331
"Brokered by Brown Harris Stevens","Co-op for sale",4250000,2,2400,"123 Prince St Unit 1","Manhattan, NY 10012","123 Prince St Unit 1, Manhattan, NY 10012","New York","New York County","New York",Manhattan,123,"123 Prince St Apt 1f, New York, NY 10012, USA",40.725464,-73.9999212
"Brokered by American Homes Group","Condo for sale",329000,1,837,"55 Austin Pl Apt 4L","Staten Island, NY 10304","55 Austin Pl Apt 4L, Staten Island, NY 10304","New York","Richmond County","Staten Island","Mid Island",55,"55 Austin Pl APT 4L, Staten Island, NY 10304, USA",40.6315346,-74.0856344
"Brokered by Wonica REALTORS & Appraisers","Multi-family home for sale",889000,2,1520,"17 S Greenleaf Ave","Staten Island, NY 10314","17 S Greenleaf Ave, Staten Island, NY 10314","United States","New York","Richmond County","Staten Island","South Greenleaf Avenue","17 S Greenleaf Ave, Staten Island, NY 10314, USA",40.6233188,-74.1259917
"Brokered by First Class Homes Inc","Multi-family home for sale",769000,2,2186,"101-55 112th St","Richmond Hill South, NY 11419","101-55 112th St, Richmond Hill South, NY 11419","United States","New York","Queens County",Queens,"112th Street","101-55 112th St, South Richmond Hill, NY 11419, USA",40.6868333,-73.8309133
"Brokered by eXp Realty BKNY","Multi-family home for sale",1200000,2,2536,"66 Bay 22nd St","Brooklyn, NY 11214","66 Bay 22nd St, Brooklyn, NY 11214","United States","New York","Kings County",Brooklyn,"Bay 22nd Street","66 Bay 22nd St, Brooklyn, NY 11214, USA",40.6042861,-74.0012526
"Brokered by VYLLA HOME","Co-op for sale",220500,1,900,"350 Richmond Ter Apt 3M","Staten Island, NY 10301","350 Richmond Ter Apt 3M, Staten Island, NY 10301","New York","Richmond County","Staten Island","Mid Island",350,"350 Richmond Terrace Apt 3n, Staten Island, NY 10301, USA",40.6481488,-74.0847983
"Brokered by RE MAX Edge","Multi-family home for sale",1999000,3,2739,"259 80th St","Brooklyn, NY 11209","259 80th St, Brooklyn, NY 11209","United States","New York","Kings County",Brooklyn,"80th Street","259 80th St, Brooklyn, NY 11209, USA",40.6281691,-74.0297598
"Brokered by Douglas Elliman  -111 Fifth Ave","Condo for sale",1650000,2,1267,"473 Hicks St Apt 4","Brooklyn, NY 11231","473 Hicks St Apt 4, Brooklyn, NY 11231","New York","Kings County",Brooklyn,"Cobble Hill",473,"473 Hicks St APT 4, Brooklyn, NY 11231, USA",40.6866098,-73.9997131
"Brokered by Homes R Us Realty of NY, Inc.","Multi-family home for sale",1049000,4,2554,"342 Manhattan St","Staten Island, NY 10307","342 Manhattan St, Staten Island, NY 10307","United States","New York","Richmond County","Staten Island","Manhattan Street","342 Manhattan St, Staten Island, NY 10307, USA",40.5016233,-74.2417531
"Brokered by American Homes Group","House for sale",998800,4,2400,"1191 Clove Rd","Staten Island, NY 10301","1191 Clove Rd, Staten Island, NY 10301","United States","New York","Richmond County","Staten Island","Clove Road","1191 Clove Rd, Staten Island, NY 10301, USA",40.6175,-74.103996
"Brokered by DEGI - Douglas Elliman Real Estate","For sale",3150000,2,1952,"184 Lincoln Pl Unit 2","Brooklyn, NY 11217","184 Lincoln Pl Unit 2, Brooklyn, NY 11217","New York","Kings County",Brooklyn,"Park Slope",184,"184 Lincoln Pl #2, Brooklyn, NY 11217, USA",40.6754035,-73.9742051
"Brokered by Brown Harris Stevens - 445 Park Avenue","Co-op for sale",849000,1,2188,"263 W End Ave Apt 14C","Manhattan, NY 10023","263 W End Ave Apt 14C, Manhattan, NY 10023","New York","New York County","New York",Manhattan,263,"263 West End Ave #14c, New York, NY 10023, USA",40.7802357,-73.9846328
"Brokered by Piastro Realty LLC","Co-op for sale",559500,1,800,"50 Brighton 1 Rd Unit 5H","Brooklyn, NY 11235","50 Brighton 1 Rd Unit 5H, Brooklyn, NY 11235","New York","Kings County",Brooklyn,"Brighton Beach",50,"50 Brighton 1st Rd #5h, Brooklyn, NY 11235, USA",40.5751942,-73.9669983
"Brokered by Douglas Elliman - 575 Madison Ave","Co-op for sale",750000,1,835,"333 E 66th St Apt 8E","New York, NY 10065","333 E 66th St Apt 8E, New York, NY 10065","New York","New York County","New York",Manhattan,333,"333 E 66th St #8e, New York, NY 10065, USA",40.7643711,-73.9593578
"Brokered by COMPASS","Condo for sale",1395000,2,1182,"737 Bergen St Apt 1B","Brooklyn, NY 11238","737 Bergen St Apt 1B, Brooklyn, NY 11238","New York","Kings County",Brooklyn,"Prospect Heights",737,"737 Bergen St #1b, Brooklyn, NY 11238, USA",40.6787789,-73.9643728
"Brokered by Monticello Real Estate Group","Co-op for sale",198000,1,2192,"83-55 Woodhaven Blvd Unit 1A","Woodhaven, NY 11421","83-55 Woodhaven Blvd Unit 1A, Woodhaven, NY 11421","New York","Queens County",Queens,Woodhaven,83-55,"83-55 Woodhaven Blvd #1a, Woodhaven, NY 11421, USA",40.700309,-73.8535466
"Brokered by Ashford Homes","Multi-family home for sale",1489000,2.5,3780,"205 Wiman Ave","Staten Island, NY 10308","205 Wiman Ave, Staten Island, NY 10308","United States","New York","Richmond County","Staten Island","Wiman Avenue","205 Wiman Ave, Staten Island, NY 10308, USA",40.5395319,-74.1450877
"Brokered by Serhant","Condo for sale",1595000,3,1413,"924 Lafayette Ave Unit Ph","Brooklyn, NY 11221","924 Lafayette Ave Unit Ph, Brooklyn, NY 11221","United States","New York","Kings County",Brooklyn,"Lafayette Avenue","924 Lafayette Ave, Brooklyn, NY 11221, USA",40.6915139,-73.935444
"Brokered by Douglas Elliman - 575 Madison Ave","Condo for sale",655000,2,803,"1504 Jefferson Ave Unit Gardenb","Brooklyn, NY 11237","1504 Jefferson Ave Unit Gardenb, Brooklyn, NY 11237","United States","New York","Kings County",Brooklyn,"Jefferson Avenue","1504 Jefferson Ave, Brooklyn, NY 11237, USA",40.6967268,-73.9074036
"Brokered by Serhant","Condo for sale",1175000,2,1115,"924 Lafayette Ave Apt 2","Brooklyn, NY 11221","924 Lafayette Ave Apt 2, Brooklyn, NY 11221","New York","Kings County",Brooklyn,Bedford-Stuyvesant,924,"924 Lafayette Ave #2, Brooklyn, NY 11221, USA",40.6915139,-73.935444
"Brokered by Momentum Real Estate LLC","Multi-family home for sale",798000,4,2150,"425 Father Capodanno Blvd","Staten Island, NY 10305","425 Father Capodanno Blvd, Staten Island, NY 10305","United States","New York","Richmond County","Staten Island","Father Capodanno Boulevard","425 Father Capodanno Blvd, Staten Island, NY 10305, USA",40.5874844,-74.0701056
"Brokered by Corcoran Chelsea/Flatiron","Condo for sale",31000000,4,4492,"111 W 57th St # 50","New York, NY 10019","111 W 57th St # 50, New York, NY 10019","New York","New York County","New York",Manhattan,111,"111 W 57th St #50, New York, NY 10019, USA",40.764953,-73.977568
"Brokered by Dom Realty, Inc","Land for sale",2550000,2.5,2187,"234 Ocean View Ave","Brooklyn, NY 11235","234 Ocean View Ave, Brooklyn, NY 11235","United States","New York","Kings County",Brooklyn,"Ocean View Avenue","234 Ocean View Ave, Brooklyn, NY 11235, USA",40.5785288,-73.9655666
"Brokered by Meyers Enterprise Realty Group","Land for sale",119000,2.5,2207,"3652 DE Reimer Ave","Bronx, NY 10466","3652 DE Reimer Ave, Bronx, NY 10466","United States","New York","Bronx County","The Bronx","De Reimer Avenue","3652 De Reimer Ave, Bronx, NY 10466, USA",40.8841699,-73.8388387
"Brokered by Gosen Properties Inc",Foreclosure,269000,2,2186,"24149 148th Dr","Rosedale, NY 11422","24149 148th Dr, Rosedale, NY 11422","United States","New York","Queens County",Queens,"148th Drive","241-49 148th Dr, Jamaica, NY 11422, USA",40.6534433,-73.741373
"Brokered by Douglas Elliman - 575 Madison Ave","Condo for sale",1650000,2,1065,"200 E 94th St Apt 414","New York, NY 10128","200 E 94th St Apt 414, New York, NY 10128","New York","New York County","New York",Manhattan,200,"200 E 94th St APT 414, New York, NY 10128, USA",40.7833546,-73.9499982
"Brokered by COMPASS","Townhouse for sale",12950000,4,3344,"214 W 11th St","Manhattan, NY 10014","214 W 11th St, Manhattan, NY 10014","United States","New York","New York County","New York","West 11th Street","214 W 11th St, New York, NY 10014, USA",40.7363219,-74.0018035
"Brokered by Brown Harris Stevens - 1926 Broadway","Condo for sale",5750000,2,2223,"250 E 21st St Unit 12B","Manhattan, NY 10010","250 E 21st St Unit 12B, Manhattan, NY 10010","New York","New York County","New York",Manhattan,250,"250 E 21st St #12b, New York, NY 10010, USA",40.736608,-73.9822819
"Brokered by Sowae Corp","Multi-family home for sale",250000,2,2180,"130-24 150th St","Jamaica, NY 11436","130-24 150th St, Jamaica, NY 11436","United States","New York","Queens County",Queens,"150th Street","130-24 150th St, Jamaica, NY 11436, USA",40.66911,-73.789339
"Brokered by Charles Rutenberg Realty Inc",Pending,950000,2.5,3384,"254-06 Craft Ave Unit 2","Jamaica, NY 11422","254-06 Craft Ave Unit 2, Jamaica, NY 11422","New York","Queens County",Queens,Jamaica,254-06,"254-06 Craft Ave #2, Jamaica, NY 11422, USA",40.6499031,-73.7354706
"Brokered by BROWN HARRIS STEVENS BROOKLYN LLC","House for sale",8750000,6,2180,"8200 Narrows Ave","Brooklyn, NY 11209","8200 Narrows Ave, Brooklyn, NY 11209","United States","New York","Kings County",Brooklyn,"Narrows Avenue","8200 Narrows Ave, Brooklyn, NY 11209, USA",40.6282935,-74.0379695
"Brokered by Engel & Volkers Brownstone Brooklyn","Condo for sale",215000,1,625,"195 Prince St Unit 1LL","New York, NY 10012","195 Prince St Unit 1LL, New York, NY 10012","New York","New York County","New York",Manhattan,195,"195 Prince St #1r, New York, NY 10012, USA",40.7267732,-74.002538
"Built by Toll Brothers","For sale",950000,1,621,"The Rockwell # 3A","New York, NY 10025","The Rockwell # 3A, New York, NY 10025","United States","New York","New York County","New York","West 103rd Street","218 W 103rd St, New York, NY 10025, USA",40.7986579,-73.9679035
"Brokered by Prospes Real Estate Corp","Multi-family home for sale",600000,2,2193,"1406 Mac Donough Pl","Bronx, NY 10465","1406 Mac Donough Pl, Bronx, NY 10465","United States","New York","Bronx County","The Bronx","Mac Donough Place","1406 Mac Donough Pl, Bronx, NY 10465, USA",40.8429545,-73.8249591
"Brokered by EXP Realty","Multi-family home for sale",790000,3,2520,"78 Mountainview Ave","Staten Island, NY 10314","78 Mountainview Ave, Staten Island, NY 10314","United States","New York","Richmond County","Staten Island","Mountainview Avenue","78 Mountainview Ave, Staten Island, NY 10314, USA",40.6105856,-74.1268175
"Brokered by STROFFOLINO REALTY LLC","Co-op for sale",539000,2,1100,"9425 Shore Rd Apt 4F","Brooklyn, NY 11209","9425 Shore Rd Apt 4F, Brooklyn, NY 11209","New York","Kings County",Brooklyn,"Fort Hamilton",9425,"9425 Shore Rd #4f, Brooklyn, NY 11209, USA",40.6170731,-74.0383836
"Brokered by Douglas Elliman - 3544 Johnson Ave","Co-op for sale",1295000,2,1995,"2501 Palisade Ave Apt H2","Bronx, NY 10463","2501 Palisade Ave Apt H2, Bronx, NY 10463","New York","Bronx County","The Bronx","Spuyten Duyvil",2501,"2501 Palisade Ave #2, Bronx, NY 10463, USA",40.8809873,-73.9224337
"Brokered by Sowae Corp","House for sale",245000,1,2173,"2942 Lurting Ave","Bronx, NY 10469","2942 Lurting Ave, Bronx, NY 10469","United States","New York","Bronx County","The Bronx","Lurting Avenue","2942 Lurting Ave, Bronx, NY 10469, USA",40.8690109,-73.8564445
"Brokered by Americas Real Estate Advisors","House for sale",400000,3,2385,"340 E 234th St","Bronx, NY 10470","340 E 234th St, Bronx, NY 10470","United States","New York","Bronx County","The Bronx","East 234th Street","340 E 234th St, Bronx, NY 10470, USA",40.8969146,-73.8654984
"Brokered by Douglas Elliman - 575 Madison Ave","House for sale",55000000,8,12000,"25 Riverside Dr","New York, NY 10023","25 Riverside Dr, New York, NY 10023","United States","New York","New York County","New York","Riverside Drive","25 Riverside Dr, New York, NY 10023, USA",40.782238,-73.9846322
"Brokered by Brown Harris Stevens","Co-op for sale",280000,1,1000,"8015 6th Ave Apt A1","Brooklyn, NY 11209","8015 6th Ave Apt A1, Brooklyn, NY 11209","New York","Kings County",Brooklyn,"Bay Ridge",8015,"8015 6th Ave Apt A1, Brooklyn, NY 11209, USA",40.6241766,-74.0216837
"Brokered by Top Choice Realty LLC","House for sale",899000,2,1440,"40 Adelphi Ave","Staten Island, NY 10309","40 Adelphi Ave, Staten Island, NY 10309","United States","New York","Richmond County","Staten Island","Adelphi Avenue","40 Adelphi Ave, Staten Island, NY 10309, USA",40.5159004,-74.2314825
"Built by Toll Brothers","For sale",2280000,2,1400,"The Rockwell # 6E","New York, NY 10025","The Rockwell # 6E, New York, NY 10025","United States","New York","New York County","New York","West 103rd Street","218 W 103rd St, New York, NY 10025, USA",40.7986579,-73.9679035
"Brokered by Charles Rutenberg Realty Inc",Pending,739000,4,2182,"38 Dare Ct","Brooklyn, NY 11229","38 Dare Ct, Brooklyn, NY 11229","United States","New York","Kings County",Brooklyn,"Dare Court","38 Dare Ct, Brooklyn, NY 11229, USA",40.5877991,-73.9216187
"Brokered by AmeriHomes Realty","House for sale",1495000,2.5,3000,"31 4th Ct","Staten Island, NY 10312","31 4th Ct, Staten Island, NY 10312","United States","New York","Richmond County","Staten Island","4 Court","31 4 Ct, Staten Island, NY 10312, USA",40.5247627,-74.1681035
"Brokered by Douglas Elliman - 187 Seventh Ave","House for sale",3950000,2,3528,"591 4th St","Brooklyn, NY 11215","591 4th St, Brooklyn, NY 11215","United States","New York","Kings County",Brooklyn,"4th Street","591 4th St, Brooklyn, NY 11215, USA",40.6680619,-73.9748375
"Brokered by Avenues - Headquarters","Condo for sale",325000,1,979,"122 E 102nd St Apt 5B","New York, NY 10029","122 E 102nd St Apt 5B, New York, NY 10029","New York","New York County","New York",Manhattan,122,"122 E 102nd St #5b, New York, NY 10029, USA",40.7897507,-73.9487257
"Brokered by Corcoran Chelsea/Flatiron",Pending,299999,1,2205,"215 W 75th St Apt 4D","New York, NY 10023","215 W 75th St Apt 4D, New York, NY 10023","New York","New York County","New York",Manhattan,215,"215 W 75th St #4d, New York, NY 10023, USA",40.7810583,-73.9808407
"Brokered by Sotheby's International Realty - East Side Manhattan Brokerage","Townhouse for sale",2695000,5,4720,"327 Convent Ave","New York, NY 10031","327 Convent Ave, New York, NY 10031","United States","New York","New York County","New York","Convent Avenue","327 Convent Ave, New York, NY 10031, USA",40.8235127,-73.9467514
NoBroker,Pending,4800000,2.5,3958,"1151 83rd St","Brooklyn, NY 11228","1151 83rd St, Brooklyn, NY 11228","United States","New York","Kings County",Brooklyn,"83rd Street","1151 83rd St, Brooklyn, NY 11228, USA",40.6178184,-74.0151165
"Brokered by Compass Realty Central Inc.","House for sale",694000,3,1360,"364 Armstrong Ave","Staten Island, NY 10308","364 Armstrong Ave, Staten Island, NY 10308","United States","New York","Richmond County","Staten Island","Armstrong Avenue","364 Armstrong Ave, Staten Island, NY 10308, USA",40.5423126,-74.1555672
"Brokered by Douglas Elliman - 3544 Johnson Ave","House for sale",688888,2,2846,"761 S Oak Dr","Bronx, NY 10467","761 S Oak Dr, Bronx, NY 10467","United States","New York","Bronx County","The Bronx","South Oak Drive","761 S Oak Dr, Bronx, NY 10467, USA",40.8726182,-73.8651768
"Brokered by Sowae Corp","House for sale",400000,2,1980,"781 Sheperd Ave","Brooklyn, NY 11208","781 Sheperd Ave, Brooklyn, NY 11208","United States","New York","Kings County",Brooklyn,"Shepherd Avenue","781 Shepherd Ave, Brooklyn, NY 11208, USA",40.665357,-73.8770867
"Brokered by Sowae Corp","Multi-family home for sale",346000,2,2202,"103-12 104th St","Ozone Park, NY 11417","103-12 104th St, Ozone Park, NY 11417","United States","New York","Queens County",Queens,"104th Street","103-12 104th St, Jamaica, NY 11417, USA",40.6837891,-73.8381042
"Brokered by Sowae Corp","House for sale",265000,1,2188,"135-38 224th St","Springfield Gardens, NY 11413","135-38 224th St, Springfield Gardens, NY 11413","United States","New York","Queens County",Queens,"224th Street","135-38 224th St, Jamaica, NY 11413, USA",40.67538,-73.7472571
"Brokered by Corcoran East Side","Townhouse for sale",24800000,8,2169,"45 E 74th St","New York, NY 10021","45 E 74th St, New York, NY 10021","United States","New York","New York County","New York","East 74th Street","45 E 74th St, New York, NY 10021, USA",40.772929,-73.9635462
